country,value,netwgt,type
Germany,270461902.268,688067.4829,exporter
Japan,265422214.732,606374.062,exporter
United Kingdom,370799136.468,600000.0,exporter
Netherlands,256247215.202,576702.047,exporter
USA,249407771.0,431840.63715499995,exporter
Belgium,145034448.567,391263.0,exporter
France,131870636.417,344367.0,exporter
Spain,84155160.591,223160.64789,exporter
Canada,97671681.287,201779.653189,exporter
Austria,59549613.894,165196.207166,exporter
Netherlands,291106357.507,796233902.093,importer
TÃ¼rkiye,202926235.0,622781167.0,importer
Germany,179473187.902,503268000.0,importer
USA,306747659.0,446830982.399,importer
Vietnam,0.0,420000000.0,importer
Malaysia,173935204.611,351284000.0,importer
Belgium,121760813.616,282980000.0,importer
Indonesia,101041372.0,252473003.0,importer
"Other Asia, nes",143869605.24,231860903.0,importer
Austria,94487879.111,214471963.608,importer
