Country,ISO3,Year,Value
Albania,ALB,2010-2019,30122
Algeria,DZA,2010-2019,258511
Angola,AGO,2010-2019,53537
Antigua and Barbuda,ATG,2010-2019,403
Argentina,ARG,2010-2019,20790
Australia,AUS,2010-2019,4173
Bahamas,BHS,2010-2019,1267
Bahrain,BHR,2010-2019,208
Bangladesh,BGD,2010-2019,452158
Barbados,BRB,2010-2019,576
Belgium,BEL,2010-2019,30
Brazil,BRA,2010-2019,940540
Belize,BLZ,2010-2019,16210
Solomon Islands,SLB,2010-2019,39941
Brunei Darussalam,BRN,2010-2019,1293
Bulgaria,BGR,2010-2019,173
Myanmar,MMR,2010-2019,325359
Cambodia,KHM,2010-2019,3024
Cameroon,CMR,2010-2019,67901
Canada,CAN,2010-2019,639
Cape Verde,CPV,2010-2019,2223
Sri Lanka,LKA,2010-2019,75154
Chile,CHL,2010-2019,5351
China,CHN,2010-2019,3185508
Colombia,COL,2010-2019,52544
Comoros,COM,2010-2019,40559
Congo,COG,2010-2019,9511
Democratic Republic of the Congo,COD,2010-2019,157
Costa Rica,CRI,2010-2019,6233
Croatia,HRV,2010-2019,6492
Cyprus,CYP,2010-2019,179
Benin,BEN,2010-2019,32542
Denmark,DNK,2010-2019,168
Dominica,DMA,2010-2019,710
Dominican Republic,DOM,2010-2019,126482
Ecuador,ECU,2010-2019,30036
El Salvador,SLV,2010-2019,18895
Equatorial Guinea,GNQ,2010-2019,5396
Eritrea,ERI,2010-2019,5919
Estonia,EST,2010-2019,145
Fiji,FJI,2010-2019,3063
Finland,FIN,2010-2019,437
France,FRA,2010-2019,1669
Djibouti,DJI,2010-2019,3868
Gabon,GAB,2010-2019,2208
Georgia,GEO,2010-2019,869
Gambia,GMB,2010-2019,15163
Germany,DEU,2010-2019,2319
Ghana,GHA,2010-2019,109019
Kiribati,KIR,2010-2019,37
Greece,GRC,2010-2019,35777
Grenada,GRD,2010-2019,915
Guatemala,GTM,2010-2019,39948
Guinea,GIN,2010-2019,25340
Guyana,GUY,2010-2019,17061
Haiti,HTI,2010-2019,136734
Honduras,HND,2010-2019,28270
"Hong Kong, China",HKG,2010-2019,28414
Iceland,ISL,2010-2019,39
India,IND,2010-2019,1521591
Indonesia,IDN,2010-2019,926209
Iran (Islamic Republic of),IRN,2010-2019,11924
Ireland,IRL,2010-2019,643
Israel,ISR,2010-2019,3210
Italy,ITA,2010-2019,9450
C̫te d'Ivoire,CIV,2010-2019,58403
Jamaica,JAM,2010-2019,32081
Japan,JPN,2010-2019,17906
Kenya,KEN,2010-2019,15164
Democratic People's Republic of Korea,PRK,2010-2019,19779
Republic of Korea,KOR,2010-2019,6421
Kuwait,KWT,2010-2019,14087
Lebanon,LBN,2010-2019,27562
Latvia,LVA,2010-2019,213
Liberia,LBR,2010-2019,14351
Libya,LBY,2010-2019,101786
Lithuania,LTU,2010-2019,77
Madagascar,MDG,2010-2019,3853
Malaysia,MYS,2010-2019,546318
Maldives,MDV,2010-2019,219
Malta,MLT,2010-2019,152
Mauritania,MRT,2010-2019,4079
Mauritius,MUS,2010-2019,155
Mexico,MEX,2010-2019,52215
Montenegro,MNE,2010-2019,2971
Morocco,MAR,2010-2019,93076
Mozambique,MOZ,2010-2019,112741
Oman,OMN,2010-2019,345
Namibia,NAM,2010-2019,512
Netherlands,NLD,2010-2019,9175
Vanuatu,VUT,2010-2019,1229
New Zealand,NZL,2010-2019,462
Nicaragua,NIC,2010-2019,38695
Nigeria,NGA,2010-2019,502546
Norway,NOR,2010-2019,227
Micronesia (Federated States of),FSM,2010-2019,341
Palau,PLW,2010-2019,77
Pakistan,PAK,2010-2019,83808
Panama,PAN,2010-2019,22480
Papua New Guinea,PNG,2010-2019,44006
Peru,PER,2010-2019,46143
Philippines,PHL,2010-2019,2642449
Poland,POL,2010-2019,508
Portugal,PRT,2010-2019,1246
Guinea-Bissau,GNB,2010-2019,11453
Timor-Leste,TLS,2010-2019,11306
Puerto Rico (USA),PRI,2010-2019,646
Qatar,QAT,2010-2019,885
Romania,ROU,2010-2019,2702
Russian Federation,RUS,2010-2019,34534
Saint Kitts and Nevis,KNA,2010-2019,55
Saint Lucia,LCA,2010-2019,2905
Saint Vincent and the Grenadines,VCT,2010-2019,799
Sao Tome and Principe,STP,2010-2019,1304
Saudi Arabia,SAU,2010-2019,4354
Senegal,SEN,2010-2019,25726
Seychelles,SYC,2010-2019,47
Sierra Leone,SLE,2010-2019,23901
Viet Nam,VNM,2010-2019,656644
Somalia,SOM,2010-2019,3032
South Africa,ZAF,2010-2019,136643
Spain,ESP,2010-2019,9205
Sudan,SDN,2010-2019,11836
Suriname,SUR,2010-2019,14028
Sweden,SWE,2010-2019,659
Syrian Arab Republic,SYR,2010-2019,4108
Thailand,THA,2010-2019,425141
Togo,TGO,2010-2019,31773
Tonga,TON,2010-2019,434
Trinidad and Tobago,TTO,2010-2019,47852
United Arab Emirates,ARE,2010-2019,2734
Tunisia,TUN,2010-2019,132766
Turkey,TUR,2010-2019,519066
Ukraine,UKR,2010-2019,38736
Egypt,EGY,2010-2019,259857
United Kingdom of Great Britain & Northern Ireland,GBR,2010-2019,8491
United Republic of Tanzania,TZA,2010-2019,199536
United States of America,USA,2010-2019,54233
Uruguay,URY,2010-2019,161638
Venezuela,VEN,2010-2019,261310
Samoa,WSM,2010-2019,1232
Yemen,YEM,2010-2019,39823
"Taiwan, Province of China",TWN,2010-2019,134955
Chagos Archipelago (Mauritius),IOT,2010-2019,155
