,Entity,Code,Year,value_recycled_share,value_incinerated_share,littered_mismanaged_combined_share,value_landfilled_share
0,Americas (excl. USA),AMERICAS,2000,4.721963,1.2200574,32.702644,61.355328
1,Americas (excl. USA),AMERICAS,2001,4.9725046,1.2086724,32.65127,61.167557
2,Americas (excl. USA),AMERICAS,2002,5.22747,1.1975662,32.610558,60.96441
3,Americas (excl. USA),AMERICAS,2003,5.4825106,1.186352,32.54644,60.7847
4,Americas (excl. USA),AMERICAS,2004,5.7400074,1.1752826,32.480965,60.603745
5,Americas (excl. USA),AMERICAS,2005,5.9932656,1.1643187,32.38634,60.456074
6,Americas (excl. USA),AMERICAS,2006,6.2488875,1.1536299,32.298714,60.298767
7,Americas (excl. USA),AMERICAS,2007,6.5048146,1.1429298,32.198456,60.153797
8,Americas (excl. USA),AMERICAS,2008,6.750381,1.131332,32.026604,60.091694
9,Americas (excl. USA),AMERICAS,2009,7.0017624,1.1201167,31.879993,59.998127
10,Americas (excl. USA),AMERICAS,2010,7.2607164,1.1110171,31.71632,59.91195
11,Americas (excl. USA),AMERICAS,2011,7.517997,1.1020877,31.516386,59.863525
12,Americas (excl. USA),AMERICAS,2012,7.7693286,1.0941856,31.313433,59.823048
13,Americas (excl. USA),AMERICAS,2013,8.0173,1.0871824,31.086758,59.80876
14,Americas (excl. USA),AMERICAS,2014,8.261709,1.0832841,30.8692,59.78581
15,Americas (excl. USA),AMERICAS,2015,8.545545,1.0632468,30.58546,59.805756
16,Americas (excl. USA),AMERICAS,2016,8.805077,1.0594409,30.192081,59.943398
17,Americas (excl. USA),AMERICAS,2017,9.050159,1.0606065,29.824228,60.065014
18,Americas (excl. USA),AMERICAS,2018,9.3020315,1.0537329,29.444986,60.19925
19,Americas (excl. USA),AMERICAS,2019,9.554245,1.1592599,29.180882,60.10561
20,Asia (excl. China and India),,2000,3.826082,10.439383,36.908466,48.82608
21,Asia (excl. China and India),,2001,4.0782595,10.978967,36.890785,48.051964
22,Asia (excl. China and India),,2002,4.3347645,11.516974,36.843292,47.304955
23,Asia (excl. China and India),,2003,4.5875983,12.036433,36.779625,46.59634
24,Asia (excl. China and India),,2004,4.8415866,12.546595,36.695618,45.916195
25,Asia (excl. China and India),,2005,5.084951,13.035167,36.599823,45.280056
26,Asia (excl. China and India),,2006,5.3303037,13.520215,36.482292,44.667194
27,Asia (excl. China and India),,2007,5.573142,13.991865,36.3509,44.084095
28,Asia (excl. China and India),,2008,5.789884,14.406245,36.239586,43.564274
29,Asia (excl. China and India),,2009,6.0158916,14.830825,36.098736,43.054558
30,Asia (excl. China and India),,2010,6.261683,15.259307,35.94254,42.53648
31,Asia (excl. China and India),,2011,6.5045176,15.73903,35.716637,42.03982
32,Asia (excl. China and India),,2012,6.7315044,16.145636,35.531315,41.591534
33,Asia (excl. China and India),,2013,6.9581046,16.596796,35.301987,41.14312
34,Asia (excl. China and India),,2014,7.181574,16.968782,35.11712,40.732525
35,Asia (excl. China and India),,2015,7.4340363,17.335096,34.90084,40.330025
36,Asia (excl. China and India),,2016,7.6610985,17.633564,34.71078,39.994568
37,Asia (excl. China and India),,2017,7.8878145,17.935816,34.513863,39.662506
38,Asia (excl. China and India),,2018,8.143374,18.534632,34.149826,39.17216
39,Asia (excl. China and India),,2019,8.351267,18.513683,33.74583,39.389225
40,China,CHN,2000,4.7811875,8.821573,60.80302,25.594213
41,China,CHN,2001,5.210237,9.609698,59.054737,26.125334
42,China,CHN,2002,5.6417065,10.40487,57.293114,26.660315
43,China,CHN,2003,6.072641,11.204407,55.52346,27.199493
44,China,CHN,2004,6.505385,12.010196,53.74183,27.742596
45,China,CHN,2005,6.9324255,12.820912,51.95479,28.291878
46,China,CHN,2006,7.361401,13.638992,50.154366,28.845243
47,China,CHN,2007,7.7904778,14.462738,48.343662,29.40313
48,China,CHN,2008,8.205644,15.287558,46.53614,29.97066
49,China,CHN,2009,8.62724,16.121347,44.71028,30.541138
50,China,CHN,2010,9.063556,16.963223,42.862106,31.11112
51,China,CHN,2011,9.495494,17.809065,41.007553,31.687883
52,China,CHN,2012,9.926935,18.663284,39.13956,32.27022
53,China,CHN,2013,10.358366,19.526173,37.258137,32.857323
54,China,CHN,2014,10.742684,20.402582,35.385983,33.468746
55,China,CHN,2015,11.2197,21.266891,33.464287,34.049118
56,China,CHN,2016,11.647163,22.14718,31.551325,34.65433
57,China,CHN,2017,12.039127,23.042185,29.63854,35.280148
58,China,CHN,2018,12.4892435,23.932241,27.691025,35.887497
59,China,CHN,2019,12.801141,23.762764,27.052065,36.384026
60,Europe,,2000,4.4350724,14.542094,12.974696,68.04814
61,Europe,,2001,4.8575726,15.765711,12.603666,66.773056
62,Europe,,2002,5.2840734,17.000341,12.22879,65.48679
63,Europe,,2003,5.7134585,18.240553,11.851511,64.19448
64,Europe,,2004,6.1474333,19.489176,11.470601,62.892788
65,Europe,,2005,6.5762663,20.743938,11.087446,61.59235
66,Europe,,2006,7.005127,22.00949,10.700763,60.284615
67,Europe,,2007,7.4335413,23.282541,10.311633,58.972286
68,Europe,,2008,7.8578277,24.552296,9.922061,57.66781
69,Europe,,2009,8.282662,25.83552,9.528665,56.353157
70,Europe,,2010,8.717985,27.131308,9.1307125,55.02
71,Europe,,2011,9.1653,28.428936,8.728911,53.676853
72,Europe,,2012,9.597319,29.726814,8.325814,52.350063
73,Europe,,2013,10.011501,31.043758,7.9192724,51.025467
74,Europe,,2014,10.433878,32.365795,7.509836,49.69049
75,Europe,,2015,10.883846,33.69418,7.095291,48.32668
76,Europe,,2016,11.286401,35.048588,6.6819925,46.983017
77,Europe,,2017,11.679832,36.413742,6.266093,45.640324
78,Europe,,2018,12.079297,37.823994,5.840492,44.25621
79,Europe,,2019,12.384406,37.74739,5.667553,44.200645
80,India,IND,2000,5.072351,1.6886452,68.140015,25.098991
81,India,IND,2001,5.5181284,1.8104163,67.02249,25.648989
82,India,IND,2002,5.967143,1.9341495,65.896065,26.202644
83,India,IND,2003,6.414317,2.058212,64.76735,26.76012
84,India,IND,2004,6.862617,2.1836534,63.632145,27.321568
85,India,IND,2005,7.3041263,2.3092675,62.497868,27.888737
86,India,IND,2006,7.7485833,2.4366627,61.354866,28.459888
87,India,IND,2007,8.192793,2.5648549,60.207165,29.035206
88,India,IND,2008,8.615771,2.6906817,59.074097,29.619452
89,India,IND,2009,9.048954,2.819237,57.925507,30.2063
90,India,IND,2010,9.512734,2.9519951,56.745895,30.789373
91,India,IND,2011,9.96875,3.0845609,55.567894,31.378803
92,India,IND,2012,10.419898,3.2184002,54.386494,31.975199
93,India,IND,2013,10.86092,3.3541617,53.20428,32.58064
94,India,IND,2014,11.294253,3.4897249,52.024284,33.191742
95,India,IND,2015,11.762998,3.6219814,50.82319,33.79184
96,India,IND,2016,12.197806,3.757444,49.636204,34.408554
97,India,IND,2017,12.617458,3.893275,48.452465,35.036797
98,India,IND,2018,13.01899,4.031769,47.26972,35.67953
99,India,IND,2019,13.333093,4.1608157,46.214355,36.29173
100,Middle East & North Africa,,2000,2.8385525,0.40831554,46.085022,50.668125
101,Middle East & North Africa,,2001,2.9783854,0.40893823,45.760677,50.852
102,Middle East & North Africa,,2002,3.120995,0.41152158,45.43191,51.035587
103,Middle East & North Africa,,2003,3.2624445,0.4132549,45.104546,51.21977
104,Middle East & North Africa,,2004,3.4045367,0.4158622,44.77496,51.40464
105,Middle East & North Africa,,2005,3.5428393,0.41720885,44.4478,51.59214
106,Middle East & North Africa,,2006,3.6822584,0.42017192,44.117092,51.780476
107,Middle East & North Africa,,2007,3.8210428,0.42305285,43.78638,51.969532
108,Middle East & North Africa,,2008,3.950186,0.42023295,43.467472,52.162098
109,Middle East & North Africa,,2009,4.083425,0.4205537,43.141823,52.3542
110,Middle East & North Africa,,2010,4.2234116,0.42449844,42.808033,52.54405
111,Middle East & North Africa,,2011,4.3600283,0.42627904,42.478146,52.73554
112,Middle East & North Africa,,2012,4.493245,0.42845225,42.146996,52.931305
113,Middle East & North Africa,,2013,4.6259875,0.43187827,41.813095,53.12904
114,Middle East & North Africa,,2014,4.758251,0.43362233,41.482277,53.325848
115,Middle East & North Africa,,2015,4.9017944,0.43537682,41.147713,53.515106
116,Middle East & North Africa,,2016,5.042626,0.44025955,40.81038,53.706734
117,Middle East & North Africa,,2017,5.1716475,0.44278595,40.480946,53.90462
118,Middle East & North Africa,,2018,5.3062506,0.44417846,40.149452,54.100113
119,Middle East & North Africa,,2019,5.4478326,0.6075314,39.797066,54.14757
120,Oceania,,2000,3.8013997,9.345559,11.801067,75.05197
121,Oceania,,2001,3.9639761,9.463215,11.541275,75.031746
122,Oceania,,2002,4.1322722,9.582663,11.281355,75.00371
123,Oceania,,2003,4.2974424,9.702051,11.020874,74.97963
124,Oceania,,2004,4.4636645,9.822365,10.759826,74.95399
125,Oceania,,2005,4.620853,9.942406,10.497309,74.939285
126,Oceania,,2006,4.781365,10.063928,10.234269,74.92044
127,Oceania,,2007,4.940778,10.185877,9.970468,74.90288
128,Oceania,,2008,5.0769835,10.305142,9.704555,74.91332
129,Oceania,,2009,5.225511,10.426499,9.438383,74.90961
130,Oceania,,2010,5.391036,10.549659,9.172496,74.88691
131,Oceania,,2011,5.549219,10.6718645,8.904644,74.874275
132,Oceania,,2012,5.7029896,10.794298,8.634302,74.86841
133,Oceania,,2013,5.8584156,10.917622,8.362585,74.8613
134,Oceania,,2014,6.0145235,11.04042,8.089958,74.85518
135,Oceania,,2015,6.195937,11.162097,7.8174677,74.8245
136,Oceania,,2016,6.3603725,11.284588,7.5440946,74.81101
137,Oceania,,2017,6.5187745,11.407856,7.2680383,74.805275
138,Oceania,,2018,6.6881332,11.530375,6.9919286,74.789566
139,Oceania,,2019,6.8709826,11.508256,6.7546487,74.86611
140,Sub-Saharan Africa,,2000,3.0122259,0.0,69.32282,27.664951
141,Sub-Saharan Africa,,2001,3.1577353,0.0,69.03789,27.804375
142,Sub-Saharan Africa,,2002,3.3036993,0.0,68.75071,27.945591
143,Sub-Saharan Africa,,2003,3.4496167,0.0,68.46405,28.08633
144,Sub-Saharan Africa,,2004,3.5955374,0.0,68.17625,28.228214
145,Sub-Saharan Africa,,2005,3.7399182,0.0,67.89002,28.37006
146,Sub-Saharan Africa,,2006,3.8841133,0.0,67.60213,28.513758
147,Sub-Saharan Africa,,2007,4.0282083,0.0,67.31412,28.657686
148,Sub-Saharan Africa,,2008,4.1703157,0.0,67.03213,28.797554
149,Sub-Saharan Africa,,2009,4.3130527,0.0,66.74668,28.94027
150,Sub-Saharan Africa,,2010,4.4576178,0.0,66.45724,29.085146
151,Sub-Saharan Africa,,2011,4.601472,0.0,66.16995,29.228577
152,Sub-Saharan Africa,,2012,4.742198,0.0,65.88338,29.374424
153,Sub-Saharan Africa,,2013,4.880434,0.0,65.59676,29.522799
154,Sub-Saharan Africa,,2014,5.020707,0.0,65.31025,29.669046
155,Sub-Saharan Africa,,2015,5.169435,0.0,65.01682,29.81374
156,Sub-Saharan Africa,,2016,5.3148503,0.0,64.72837,29.956776
157,Sub-Saharan Africa,,2017,5.4564695,0.0,64.44149,30.102037
158,Sub-Saharan Africa,,2018,5.595348,0.0,64.15522,30.249432
159,Sub-Saharan Africa,,2019,5.719333,0.50530356,63.60742,30.167953
160,United States,USA,2000,2.3450744,15.26663,7.9764495,74.41185
161,United States,USA,2001,2.4553702,15.470107,7.7515783,74.322945
162,United States,USA,2002,2.5685005,15.676426,7.5254703,74.2296
163,United States,USA,2003,2.6816757,15.881963,7.299079,74.13729
164,United States,USA,2004,2.797141,16.088884,7.071456,74.04251
165,United States,USA,2005,2.9077706,16.295376,6.8430123,73.95384
166,United States,USA,2006,3.0194216,16.504599,6.613124,73.86286
167,United States,USA,2007,3.1306255,16.714314,6.382708,73.772354
168,United States,USA,2008,3.2331533,16.91763,6.1532216,73.696
169,United States,USA,2009,3.3390625,17.125454,5.922219,73.61326
170,United States,USA,2010,3.4539638,17.337303,5.6899505,73.51878
171,United States,USA,2011,3.571022,17.546066,5.457105,73.425804
172,United States,USA,2012,3.6815884,17.757292,5.222023,73.339096
173,United States,USA,2013,3.7851892,17.972448,4.98546,73.256905
174,United States,USA,2014,3.8899853,18.185287,4.749489,73.17524
175,United States,USA,2015,4.0129786,18.395073,4.513753,73.07819
176,United States,USA,2016,4.1291475,18.607126,4.2783055,72.98541
177,United States,USA,2017,4.245349,18.82063,4.0425444,72.89149
178,United States,USA,2018,4.3634415,19.035501,3.8058374,72.79523
179,United States,USA,2019,4.4888835,19.078594,3.5525227,72.880005
180,World,OWID_WRL,2000,3.7033865,10.872603,26.019512,59.4045
181,World,OWID_WRL,2001,3.9859352,11.335859,26.0388,58.639404
182,World,OWID_WRL,2002,4.2745633,11.796123,26.058777,57.870537
183,World,OWID_WRL,2003,4.564884,12.255621,26.044748,57.134747
184,World,OWID_WRL,2004,4.8600082,12.712106,26.019432,56.40845
185,World,OWID_WRL,2005,5.150596,13.169611,25.952032,55.727764
186,World,OWID_WRL,2006,5.4449744,13.623553,25.881449,55.05003
187,World,OWID_WRL,2007,5.740547,14.075387,25.787539,54.39653
188,World,OWID_WRL,2008,6.0234685,14.530793,25.611214,53.83452
189,World,OWID_WRL,2009,6.314106,14.980321,25.449688,53.255886
190,World,OWID_WRL,2010,6.6227803,15.421235,25.310413,52.645576
191,World,OWID_WRL,2011,6.935222,15.873149,25.125038,52.06659
192,World,OWID_WRL,2012,7.238834,16.322397,24.887909,51.550865
193,World,OWID_WRL,2013,7.5376887,16.779276,24.610676,51.072365
194,World,OWID_WRL,2014,7.836343,17.219265,24.388899,50.5555
195,World,OWID_WRL,2015,8.164696,17.625141,24.083096,50.12707
196,World,OWID_WRL,2016,8.450203,18.084925,23.626896,49.837975
197,World,OWID_WRL,2017,8.747166,18.57843,23.199598,49.4748
198,World,OWID_WRL,2018,9.036769,19.0839,22.697952,49.18138
199,World,OWID_WRL,2019,9.292344,19.048033,22.45448,49.205143
