year,value,worker
2008,123245,Indonesian
2009,130335,Indonesian
2010,140811,Indonesian
2011,148013,Indonesian
2012,149072,Indonesian
2013,148856,Indonesian
2014,149632,Indonesian
2015,150008,Indonesian
2016,153823,Indonesian
2017,156569,Indonesian
2008,122720,Filipino
2009,126513,Filipino
2010,133761,Filipino
2011,140766,Filipino
2012,152007,Filipino
2013,160589,Filipino
2014,168706,Filipino
2015,177719,Filipino
2016,184762,Filipino
2017,193680,Filipino
2008,6532,Others
2009,6677,Others
2010,6656,Others
2011,6464,Others
2012,6412,Others
2013,6540,Others
2014,7226,Others
2015,7461,Others
2016,7493,Others
2017,8651,Others